Epoch,Time,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
1,1012.13,0.642,0.64204,0.59625,0.67488,0.37188,0.47952,0.21556
2,1016.06,0.64551,0.64707,0.58865,0.68729,0.32573,0.44199,0.20863
3,1019.89,0.64884,0.65199,0.58268,0.71093,0.27904,0.40078,0.20836
4,1023.81,0.65152,0.65555,0.57915,0.74333,0.24213,0.36527,0.21457
5,1027.63,0.65395,0.65922,0.57263,0.77016,0.20738,0.32678,0.21305
6,1031.5,0.656,0.66245,0.56286,0.77885,0.1759,0.28698,0.19891
7,1035.41,0.65714,0.66451,0.5539,0.79179,0.14658,0.24737,0.18632
8,1039.2,0.65742,0.66539,0.54738,0.79264,0.12866,0.22139,0.17389
9,1043.05,0.65637,0.66558,0.53923,0.78884,0.10749,0.1892,0.15615
10,1046.83,0.65453,0.66452,0.53055,0.79275,0.08306,0.15037,0.13762
11,1050.56,0.65217,0.66263,0.52566,0.82759,0.06515,0.12079,0.13258
12,1054.28,0.64914,0.6592,0.52131,0.85586,0.05157,0.09729,0.12541
13,1058.01,0.64515,0.65513,0.51208,0.85714,0.02932,0.05669,0.09419
14,1061.74,0.64042,0.64884,0.50828,0.86047,0.02009,0.03926,0.07833
15,1065.43,0.63478,0.64142,0.50339,0.80952,0.00923,0.01825,0.04686
16,1069.15,0.6284,0.6323,0.50149,0.875,0.0038,0.00757,0.03498
17,1072.88,0.62084,0.62325,0.50095,0.83333,0.00271,0.00541,0.02692
18,1076.56,0.61156,0.61267,0.50041,0.75,0.00163,0.00325,0.01648
19,1080.25,0.60045,0.6009,0.50014,0.66667,0.00109,0.00217,0.00951
20,1084.08,0.58857,0.58948,0.49986,0.0,0.0,0.0,0.0
21,1087.84,0.57657,0.57731,0.49986,0.0,0.0,0.0,0.0
22,1091.61,0.56486,0.56657,0.49986,0.0,0.0,0.0,0.0
23,1095.33,0.5536,0.55537,0.49986,0.0,0.0,0.0,0.0
24,1099.03,0.54313,0.54512,0.49986,0.0,0.0,0.0,0.0
25,1102.84,0.53441,0.53496,0.49986,0.0,0.0,0.0,0.0
26,1106.56,0.52717,0.52668,0.49986,0.0,0.0,0.0,0.0
27,1110.29,0.52153,0.51953,0.49986,0.0,0.0,0.0,0.0
28,1114.01,0.51798,0.51403,0.49986,0.0,0.0,0.0,0.0
29,1117.7,0.51559,0.5093,0.49986,0.0,0.0,0.0,0.0
30,1121.46,0.51472,0.50738,0.49986,0.0,0.0,0.0,0.0
31,1125.14,0.51392,0.50586,0.49986,0.0,0.0,0.0,0.0
32,1128.86,0.51334,0.50465,0.49986,0.0,0.0,0.0,0.0
33,1132.57,0.51287,0.50347,0.49986,0.0,0.0,0.0,0.0
34,1136.33,0.51232,0.50263,0.49986,0.0,0.0,0.0,0.0
35,1140.07,0.51173,0.50172,0.49986,0.0,0.0,0.0,0.0
36,1143.76,0.51133,0.5017,0.49986,0.0,0.0,0.0,0.0
37,1147.47,0.51113,0.50139,0.49986,0.0,0.0,0.0,0.0
38,1151.22,0.51113,0.50139,0.49986,0.0,0.0,0.0,0.0
39,1155.0,0.51139,0.50174,0.49986,0.0,0.0,0.0,0.0
40,1158.7,0.51169,0.50199,0.49986,0.0,0.0,0.0,0.0
41,1162.49,0.51232,0.50254,0.49986,0.0,0.0,0.0,0.0
42,1166.19,0.51312,0.50359,0.49986,0.0,0.0,0.0,0.0
43,1169.87,0.51402,0.50436,0.49986,0.0,0.0,0.0,0.0
44,1173.53,0.51489,0.50541,0.49986,0.0,0.0,0.0,0.0
45,1177.3,0.51594,0.50653,0.49986,0.0,0.0,0.0,0.0
46,1181.09,0.51706,0.50822,0.49986,0.0,0.0,0.0,0.0
47,1184.85,0.51812,0.50974,0.49986,0.0,0.0,0.0,0.0
48,1188.56,0.51919,0.51137,0.49986,0.0,0.0,0.0,0.0
49,1192.27,0.52008,0.51281,0.49986,0.0,0.0,0.0,0.0
50,1195.96,0.52076,0.51406,0.49986,0.0,0.0,0.0,0.0
51,1199.63,0.52102,0.51454,0.49986,0.0,0.0,0.0,0.0
52,1203.41,0.52133,0.51497,0.49986,0.0,0.0,0.0,0.0
53,1207.13,0.52155,0.51535,0.49986,0.0,0.0,0.0,0.0
54,1210.82,0.52167,0.51574,0.49986,0.0,0.0,0.0,0.0
55,1214.61,0.52176,0.51613,0.49986,0.0,0.0,0.0,0.0
56,1218.3,0.52195,0.51649,0.49986,0.0,0.0,0.0,0.0
57,1221.97,0.52219,0.51688,0.49986,0.0,0.0,0.0,0.0
58,1225.69,0.5224,0.51718,0.49986,0.0,0.0,0.0,0.0
