Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
Fold 0,131.0,0.8686555471852928,0.8635036516754196,0.7839305103148752,0.7827027027027027,0.7861020629750272,0.7843986998916577,0.5678663763628897
Fold 1,148.0,0.8753473364291516,0.872497302271791,0.7893593919652552,0.7944751381215469,0.7806731813246471,0.787513691128149,0.5788061326624409
Fold 2,208.0,0.8919661398203899,0.8870975508414072,0.8034211240836274,0.8095238095238095,0.7937024972855592,0.8015350877192983,0.6069602982476268
Fold 3,803.0,0.8932468368876141,0.8909613162695934,0.8118381754004887,0.8073836276083467,0.8192182410423453,0.8132578819725141,0.6237418729169945
Fold 4,176.0,0.8723021466051648,0.8701444897072574,0.7898452348628835,0.7804621848739496,0.8067318132464713,0.7933796049119061,0.5800154333932539
Fold 5,291.0,0.9012944683205146,0.8950934114698686,0.8213412978550095,0.8217391304347826,0.8208469055374593,0.8212927756653993,0.6426830537748711
Fold 6,123.0,0.8662973493728625,0.8582708799503154,0.7868585392343198,0.7979683972911964,0.7680608365019012,0.782729034043731,0.5741158778403744
Fold 7,437.0,0.8965528223402166,0.8868822805453267,0.8300298669562857,0.8407178911946158,0.8142313959804454,0.8272626931567328,0.660384440009042
Fold 8,490.0,0.9114408151638308,0.9067239701314604,0.8417051316861255,0.8407367280606717,0.8430200977729495,0.8418768646596149,0.683412992555267
Fold 9,538.0,0.9099000271886414,0.9033982577781722,0.8395329894108065,0.8393051031487514,0.8397609994568169,0.8395329894108065,0.6790661026055683
Mean,334.5,0.8887003489313677,0.8834573110640612,0.8097862261769677,0.8115014712960373,0.8072348031123623,0.809277932255981,0.6197052580368327
Std,225.96324676568287,0.016895287758711013,0.016618354340329253,0.02236274607301768,0.023268637234656105,0.02491423869752767,0.022538652747141476,0.04466861983856699
