Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
Fold 0,-1.0,0.9055773948677321,0.9040914684357216,0.8279044516829533,0.8172268907563025,0.8447339847991314,0.8307528029898559,0.6561807130110238
Fold 1,-1.0,0.8876112449174232,0.8819379374974947,0.8061889250814332,0.7670454545454546,0.8794788273615635,0.8194233687405159,0.6190644594842528
Fold 2,-1.0,0.8966439426242996,0.891668421883081,0.8121096931849036,0.7835305719921104,0.8626492942453855,0.821188630490956,0.6274178716203055
Fold 3,-1.0,0.902959698884322,0.9022036143490432,0.8286722780342113,0.818852027382833,0.8441910966340934,0.8313285217856188,0.6576567790069515
Fold 4,-1.0,0.8956366064093242,0.8960578681381792,0.8153679065978822,0.7922535211267606,0.8550488599348535,0.8224543080939948,0.6327196401096724
Fold 5,-1.0,0.8981685117786974,0.8952664853817911,0.8153679065978822,0.7919597989949749,0.8555917480998915,0.8225469728601252,0.6327747435594456
Fold 6,-1.0,0.8872060633619198,0.8784507908981758,0.8058647841433614,0.7776134122287969,0.8565996740901684,0.8151977255104679,0.61491878373798
Fold 7,-1.0,0.8933491629024257,0.8858245107360772,0.8140103176758078,0.7892892892892893,0.8565996740901684,0.8215681166970565,0.6303241041904072
Fold 8,-1.0,0.906200956497584,0.9015097231857325,0.8265001357588923,0.8035353535353535,0.864204236827811,0.8327662915467156,0.6548755304205011
Fold 9,-1.0,0.8983935110562227,0.8911206305847557,0.8178115666576161,0.7896039603960396,0.866376969038566,0.8262108262108262,0.6386568973334329
Mean,-1.0,0.897174709329995,0.8928131451090051,0.8169797965414943,0.7930910280247915,0.8585474365121633,0.8243437564926133,0.6364589522473972
Std,0.0,0.0066343677639191904,0.008724947831953668,0.008334062708442152,0.016306705015699592,0.010401543480725403,0.005740745312276537,0.015259887896638914
