Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
Fold 0,377.0,0.9127403061158326,0.9063253578984745,0.8352334419109664,0.8289824187533298,0.8447339847991314,0.8367840817424038,0.6705879497097442
Fold 1,366.0,0.9143996222771594,0.9095533929816039,0.8327904451682954,0.8306364617044228,0.8360477741585234,0.8333333333333334,0.6655950146684543
Fold 2,384.0,0.9144931972367847,0.9092652693433813,0.8389899538419766,0.8456004427227449,0.8295331161780674,0.8374897232118389,0.6781040337984122
Fold 3,570.0,0.9085662503442813,0.9047298968478694,0.8324735270160195,0.8270154831820609,0.8409337676438654,0.8339165545087484,0.6650397372422894
Fold 4,-1.0,0.9046181470321623,0.9046115749971847,0.8311159380939451,0.8311617806731814,0.8311617806731814,0.8311617806731814,0.6622318512869781
Fold 5,418.0,0.9179489856159702,0.9147607914897082,0.8354602226445832,0.8301282051282052,0.8436482084690554,0.8368336025848142,0.6710080144925801
Fold 6,473.0,0.9068261183171824,0.8985784071888911,0.8379038827043171,0.8351293103448276,0.841933731667572,0.8385177170678929,0.6758308793788539
Fold 7,340.0,0.9105188489237486,0.9053798659824783,0.8332880803692642,0.8391376451077943,0.8245518739815317,0.8317808219178082,0.6666752278237793
Fold 8,374.0,0.9163545280883437,0.9148887120194784,0.8362747759978278,0.83495670995671,0.8381314502987507,0.8365410680401193,0.6725547248647951
Fold 9,377.0,0.9144433612238074,0.9129420102229213,0.8376323649199022,0.8354020507285483,0.8408473655621944,0.8381158635625339,0.6752796180404326
Mean,367.8,0.912090936517527,0.9081035278971992,0.8351162632667097,0.8338150508301826,0.8371523053431874,0.8354474546642674,0.6702907051306319
Std,145.95722356605415,0.00432058621400807,0.005186561846319569,0.002631425424439649,0.00550857170229575,0.006711363493524583,0.00267178899405345,0.005270447315202796
