Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
Fold 0,252.0,0.9052660152008685,0.9046299363399255,0.8270901194353963,0.799602187966186,0.8729641693811075,0.834674279781988,0.6569510954251767
Fold 1,219.0,0.9071496190351562,0.8974363615105264,0.8308903365906624,0.7887257224064425,0.9039087947882736,0.8423981785985327,0.6689524176501961
Fold 2,265.0,0.9016021835840763,0.8913228375848852,0.8281292424653814,0.7907647907647908,0.8925081433224755,0.8385615914307575,0.66175018223593
Fold 3,215.0,0.9050168351359815,0.8998197127506644,0.8254140646212327,0.8214477211796246,0.8317046688382194,0.8265443755057998,0.6508776887275463
Fold 4,228.0,0.9012589343585988,0.8978032020314148,0.8167254955199565,0.7809340394800193,0.8805646036916395,0.827762184230671,0.6386603190624038
Fold 5,211.0,0.9058462066537271,0.9021298935783124,0.8305729025251154,0.8091370558375635,0.8653637350705755,0.8363064008394544,0.6627423837730015
Fold 6,212.0,0.9023936620386998,0.8968487196791942,0.8265001357588923,0.8001998001998002,0.8701792504073873,0.8337236533957846,0.6555184901619008
Fold 7,224.0,0.9004137863515378,0.8904191400867303,0.8262286179744773,0.8168865435356201,0.8408473655621944,0.828693790149893,0.6527406767062296
Fold 8,231.0,0.9109917012717326,0.9003460532217586,0.8335595981536791,0.8000977517106549,0.8891906572514937,0.8422948289169025,0.6713015517835899
Fold 9,245.0,0.9074543764571136,0.8984875323536268,0.8316589736627749,0.8029776674937965,0.8788701792504073,0.8392116182572614,0.6663074782944397
Mean,230.2,0.9047393320087492,0.8979243389137039,0.8276769486707568,0.8010773280574497,0.8726101567563773,0.8350170901107046,0.6585802283820414
Std,18.274450896143378,0.0033336670972860965,0.004393728332732604,0.004693505650548322,0.012481199360919532,0.02234474290771973,0.005825814196673493,0.009768188156630865
