Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
Fold 0,1,0.6540879524446797,0.6879403743363751,0.5009861932938856,0.5009861932938856,1.0,0.6675427069645203,0.0
Fold 1,1,0.6135040926208335,0.5754275001792479,0.5009861932938856,0.5009861932938856,1.0,0.6675427069645203,0.0
Fold 2,1,0.4605209921882294,0.44288795953858784,0.4990138067061144,0.4990138067061144,1.0,0.6657894736842105,0.0
Fold 3,1,0.6306215181600324,0.6397318199325128,0.4990138067061144,0.4990138067061144,1.0,0.6657894736842105,0.0
Fold 4,1,0.4329937977471918,0.4538823494912859,0.5,0.5,1.0,0.6666666666666666,0.0
Fold 5,1,0.6747566748426002,0.6723926637437447,0.5,0.5,1.0,0.6666666666666666,0.0
Fold 6,1,0.6317549094658564,0.5843656498133307,0.5,0.5,1.0,0.6666666666666666,0.0
Fold 7,1,0.43459513505913233,0.47775693126870183,0.5,0.5,1.0,0.6666666666666666,0.0
Fold 8,1,0.6350044524988673,0.6201680637386656,0.5,0.5,1.0,0.6666666666666666,0.0
Fold 9,1,0.5267384274086456,0.5699578612760113,0.5,0.5,1.0,0.6666666666666666,0.0
Mean,,0.5694577952436068,0.5724511173318463,0.5,0.5,1.0,0.6666664361297462,0.0
Std,,0.09089060499136309,0.08372506542434463,0.0006237234043724646,0.0006237234043724646,0.0,0.0005544211154343888,0.0
