Epoch,Time,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
1,1066.06,0.27732,0.38566,0.4249,0.45852,0.83004,0.59072,-0.25629
2,1067.95,0.2722,0.38395,0.417,0.45374,0.81423,0.58274,-0.27335
3,1069.8,0.26948,0.38077,0.40909,0.44843,0.79051,0.57225,-0.2812
4,1071.71,0.2677,0.37958,0.40119,0.44344,0.7747,0.56403,-0.29728
5,1073.58,0.26826,0.37902,0.39723,0.44091,0.7668,0.55988,-0.30514
6,1075.41,0.26907,0.3819,0.39526,0.43936,0.75889,0.55652,-0.30522
7,1077.23,0.27038,0.38165,0.3913,0.43649,0.74704,0.55102,-0.30936
8,1079.06,0.27038,0.38096,0.38142,0.42958,0.72332,0.53903,-0.32501
9,1080.95,0.27313,0.38055,0.37352,0.42271,0.6917,0.52474,-0.32793
10,1082.76,0.27638,0.38106,0.36759,0.41769,0.67194,0.51515,-0.33378
11,1084.6,0.27889,0.38102,0.34783,0.40253,0.62846,0.49074,-0.36773
12,1086.53,0.28284,0.38239,0.35771,0.40625,0.6166,0.4898,-0.33265
13,1088.49,0.28814,0.38434,0.35375,0.39722,0.56522,0.46656,-0.32278
14,1090.39,0.29272,0.38608,0.3419,0.38095,0.50593,0.43463,-0.33473
15,1092.34,0.29636,0.38754,0.32213,0.35294,0.42688,0.3864,-0.3638
16,1094.27,0.29808,0.38456,0.35573,0.35798,0.36364,0.36078,-0.28857
17,1096.19,0.29854,0.38486,0.36561,0.32474,0.24901,0.28188,-0.2764
18,1098.2,0.2984,0.3881,0.39328,0.30714,0.16996,0.21883,-0.23856
19,1100.05,0.30015,0.38817,0.42885,0.275,0.08696,0.13213,-0.19501
20,1102.24,0.30211,0.38873,0.47431,0.31429,0.04348,0.07639,-0.10125
21,1104.13,0.30585,0.39083,0.48221,0.2,0.01186,0.02239,-0.10487
22,1106.02,0.31027,0.39207,0.5,0.5,0.01186,0.02317,0.0
23,1107.94,0.31485,0.39336,0.5,0.0,0.0,0.0,0.0
24,1109.86,0.31883,0.39448,0.5,0.0,0.0,0.0,0.0
25,1111.8,0.32517,0.39318,0.5,0.0,0.0,0.0,0.0
26,1113.72,0.33016,0.39439,0.5,0.0,0.0,0.0,0.0
27,1115.67,0.33476,0.39539,0.5,0.0,0.0,0.0,0.0
28,1117.6,0.33875,0.39623,0.5,0.0,0.0,0.0,0.0
29,1119.5,0.34339,0.39778,0.5,0.0,0.0,0.0,0.0
30,1121.38,0.35095,0.4006,0.5,0.0,0.0,0.0,0.0
31,1123.38,0.35968,0.40444,0.5,0.0,0.0,0.0,0.0
32,1125.31,0.36974,0.40966,0.5,0.0,0.0,0.0,0.0
33,1127.24,0.37886,0.413,0.5,0.0,0.0,0.0,0.0
34,1129.18,0.38954,0.4188,0.5,0.0,0.0,0.0,0.0
35,1131.11,0.40062,0.42602,0.5,0.0,0.0,0.0,0.0
36,1133.06,0.41109,0.43203,0.5,0.0,0.0,0.0,0.0
37,1135.0,0.42053,0.43748,0.5,0.0,0.0,0.0,0.0
38,1136.98,0.43071,0.44539,0.5,0.0,0.0,0.0,0.0
39,1139.0,0.4399,0.45131,0.5,0.0,0.0,0.0,0.0
40,1140.91,0.44761,0.4568,0.5,0.0,0.0,0.0,0.0
41,1142.93,0.45485,0.46208,0.5,0.0,0.0,0.0,0.0
42,1144.84,0.46065,0.46758,0.5,0.0,0.0,0.0,0.0
43,1146.75,0.46442,0.4708,0.5,0.0,0.0,0.0,0.0
44,1148.69,0.46589,0.47396,0.5,0.0,0.0,0.0,0.0
45,1150.62,0.46604,0.47482,0.5,0.0,0.0,0.0,0.0
