Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
Fold 0,123.0,0.9657340263297128,0.9596739245649648,0.903353057199211,0.8810408921933085,0.9330708661417323,0.9063097514340345,0.8080990725259967
Fold 1,106.0,0.9552145902710778,0.9553603036082042,0.8954635108481263,0.8821292775665399,0.9133858267716536,0.8974854932301741,0.7914105685107625
Fold 2,109.0,0.9657651489216021,0.9659989750375587,0.9151873767258383,0.91015625,0.9209486166007905,0.9155206286836935,0.8304362043940101
Fold 3,80.0,0.9638977934082351,0.959322381531204,0.9191321499013807,0.9380165289256198,0.8972332015810277,0.9171717171717172,0.8390402589946095
Fold 4,90.0,0.9571310284491243,0.9590124485247513,0.8972332015810277,0.9135802469135802,0.8774703557312253,0.8951612903225806,0.7950877208682765
Fold 5,90.0,0.9595213173147525,0.9532955284819605,0.8853754940711462,0.870722433460076,0.9051383399209486,0.8875968992248062,0.7713537590513131
Fold 6,86.0,0.9662547454264244,0.9715032531454527,0.8754940711462451,0.8392857142857143,0.9288537549407114,0.8818011257035647,0.755301532204987
Fold 7,86.0,0.9580996422378104,0.9527853503456393,0.9011857707509882,0.8859315589353612,0.9209486166007905,0.9031007751937985,0.8029990414739311
Fold 8,126.0,0.9598025277695325,0.9591919856026112,0.9011857707509882,0.8888888888888888,0.9169960474308301,0.9027237354085603,0.8027729719194864
Fold 9,91.0,0.9598181505725758,0.9627127245748178,0.8873517786561265,0.8629629629629629,0.9209486166007905,0.8910133843212237,0.7764583912844963
Mean,98.7,0.9611238970700848,0.9598856875417164,0.8980962181631078,0.8872714754132052,0.91349942423205,0.8997884800694154,0.7972959521227869
Std,16.255255560382107,0.0039838966528628235,0.005737423574004717,0.013237723659190794,0.027944402000108545,0.016432011428167567,0.011487616204624485,0.02566956804828479
