Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
Fold 0,282.0,0.9698888923469546,0.9770638270082828,0.9388560157790928,0.9442231075697212,0.9330708661417324,0.9386138613861386,0.877775876709408
Fold 1,909.0,0.9664187233512808,0.973376289330272,0.940828402366864,0.948,0.9330708661417324,0.9404761904761904,0.8817697996608833
Fold 2,227.0,0.9740904422520308,0.978455874159304,0.9329388560157792,0.9506172839506172,0.9130434782608696,0.931451612903226,0.8665413492732936
Fold 3,555.0,0.9738648034608324,0.9797841781994104,0.9526627218934912,0.97119341563786,0.932806324110672,0.9516129032258066,0.906023040211282
Fold 4,598.0,0.9704260338389914,0.9753269573204404,0.9367588932806324,0.9473684210526316,0.924901185770751,0.936,0.8737635325596577
Fold 5,233.0,0.975761221078286,0.9780024810088066,0.932806324110672,0.9433198380566802,0.9209486166007904,0.932,0.8658561702740498
Fold 6,242.0,0.9701448233842116,0.972432081987368,0.9367588932806324,0.9510204081632652,0.9209486166007904,0.9357429718875504,0.8739548117941207
Fold 7,214.0,0.9720664281585404,0.9765321696615744,0.9407114624505928,0.9407114624505928,0.9407114624505928,0.9407114624505928,0.8814229249011858
Fold 8,469.0,0.9717149150900654,0.9775002887288377,0.9268774703557312,0.9462809917355371,0.9051383399209486,0.9252525252525252,0.8545630383279712
Fold 9,588.0,0.980502741801934,0.9852666419632744,0.950592885375494,0.9488188976377953,0.9525691699604744,0.95069033530572,0.901192810357373
Mean,431.7,0.9724879024763128,0.9773740789367572,0.9389791924908982,0.94915538262547,0.9277208925959354,0.938255186288775,0.8782863354069225
Std,219.92,0.003851731429615,0.0035759017284988,0.0078842561319347,0.0083922885646088,0.0137209256590755,0.0082329863596984,0.0156728039192279
