Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
Fold 0,-1.0,0.9698888923469546,0.9770638270082829,0.9388560157790927,0.9442231075697212,0.9330708661417323,0.9386138613861386,0.877775876709408
Fold 1,-1.0,0.9664187233512807,0.9733762893302721,0.9408284023668639,0.948,0.9330708661417323,0.9404761904761905,0.8817697996608833
Fold 2,-1.0,0.9740904422520307,0.9784558741593039,0.9329388560157791,0.9506172839506173,0.9130434782608695,0.9314516129032259,0.8665413492732936
Fold 3,-1.0,0.9738648034608323,0.9797841781994104,0.9526627218934911,0.9711934156378601,0.932806324110672,0.9516129032258066,0.9060230402112821
Fold 4,-1.0,0.9704260338389914,0.9753269573204403,0.9367588932806324,0.9473684210526315,0.924901185770751,0.9359999999999999,0.8737635325596577
Fold 5,-1.0,0.9757612210782859,0.9780024810088066,0.932806324110672,0.9433198380566802,0.9209486166007905,0.932,0.8658561702740498
Fold 6,-1.0,0.9701448233842116,0.9724320819873681,0.9367588932806324,0.9510204081632653,0.9209486166007905,0.9357429718875503,0.8739548117941207
Fold 7,-1.0,0.9720664281585403,0.9765321696615744,0.9407114624505929,0.9407114624505929,0.9407114624505929,0.9407114624505928,0.8814229249011858
Fold 8,469.0,0.9717149150900654,0.9775002887288375,0.9268774703557312,0.9462809917355371,0.9051383399209486,0.9252525252525253,0.8545630383279712
Fold 9,-1.0,0.9805027418019341,0.9852666419632745,0.950592885375494,0.9488188976377953,0.9525691699604744,0.95069033530572,0.901192810357373
Mean,46.0,0.9724879024763127,0.9773740789367571,0.9389791924908982,0.94915538262547,0.9277208925959354,0.938255186288775,0.8782863354069225
Std,148.62705002791384,0.0038517314296150607,0.0035759017284988912,0.007884256131934723,0.008392288564608861,0.013720925659075539,0.00823298635969844,0.015672803919227932
