Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
Fold 0,-1.0,0.969896672994927,0.9771137385533418,0.9388560157790927,0.9442231075697212,0.9330708661417323,0.9386138613861386,0.877775876709408
Fold 1,981.0,0.9680370981295322,0.9748667878365143,0.9329388560157791,0.9621848739495799,0.9015748031496063,0.9308943089430896,0.8676233574198723
Fold 2,-1.0,0.9740359777162242,0.9783832037030832,0.9329388560157791,0.9506172839506173,0.9130434782608695,0.9314516129032259,0.8665413492732936
Fold 3,-1.0,0.9772493853288102,0.9817711004575901,0.9526627218934911,0.9711934156378601,0.932806324110672,0.9516129032258066,0.9060230402112821
Fold 4,-1.0,0.9667859207298973,0.9658400181772465,0.9189723320158103,0.9380165289256198,0.8972332015810277,0.9171717171717172,0.8387377968774532
Fold 5,-1.0,0.9852676967301472,0.9865781838540311,0.9446640316205533,0.9310344827586207,0.9604743083003953,0.9455252918287936,0.8897729984329282
Fold 6,-1.0,0.9758002780858942,0.9818303043231205,0.950592885375494,0.9634146341463414,0.9367588932806324,0.9498997995991985,0.9015309055898103
Fold 7,-1.0,0.9710197003546378,0.9745323791306117,0.9466403162055336,0.937984496124031,0.9565217391304348,0.9471624266144814,0.8934551278695417
Fold 8,565.0,0.9730272305457045,0.9788952531212496,0.9446640316205533,0.966804979253112,0.9209486166007905,0.9433198380566802,0.8903301076670901
Fold 9,-1.0,0.9745895108500368,0.9817739984323473,0.950592885375494,0.9453125,0.9565217391304348,0.9508840864440079,0.901249133147988
Mean,153.8,0.9735709471465812,0.9781584967589136,0.941352293191758,0.9510786302315504,0.9308953969686596,0.9406535846173141,0.8833039693198668
Std,340.75889162606194,0.0053075768384283255,0.005655969054507641,0.010526512606278026,0.013951305248667624,0.022709679238094374,0.011150227206882036,0.02083863352546372
