Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
Fold 0,251.0,0.9579689396532943,0.9409734425031686,0.9072978303747534,0.8876404494382022,0.9330708661417323,0.9097888675623801,0.8156496334499805
Fold 1,177.0,0.9511375307335596,0.9448354983516349,0.8816568047337278,0.8514492753623188,0.9251968503937008,0.8867924528301886,0.7661638688845421
Fold 2,124.0,0.9678659238741403,0.9738071445780536,0.8915187376725838,0.8837209302325582,0.9011857707509882,0.8923679060665363,0.7831974196830166
Fold 3,102.0,0.9779807662382123,0.9745052636132318,0.9191321499013807,0.8955223880597015,0.9486166007905138,0.9213051823416507,0.8397536068299191
Fold 4,111.0,0.9582714930712869,0.9574498989828317,0.9110671936758893,0.9094488188976378,0.9130434782608695,0.9112426035502958,0.8221408094488315
Fold 5,141.0,0.9690668499742224,0.9660469390859132,0.9130434782608695,0.9066147859922179,0.9209486166007905,0.9137254901960785,0.8261902222322879
Fold 6,121.0,0.973222515583746,0.9745400341306256,0.9130434782608695,0.9034749034749034,0.924901185770751,0.9140625,0.826319358846011
Fold 7,154.0,0.9608023871643049,0.9425564432939595,0.9130434782608695,0.9098039215686274,0.9169960474308301,0.9133858267716536,0.826112769319187
Fold 8,167.0,0.96778578012467,0.9718149836103113,0.9169960474308301,0.9073359073359073,0.9288537549407114,0.91796875,0.8342267211316188
Fold 9,99.0,0.9624271586808105,0.9593757428828708,0.8992094861660079,0.8740740740740741,0.932806324110672,0.9024856596558318,0.8002275257115727
Mean,144.7,0.9646529345098248,0.9605905391032602,0.9066008684737781,0.8929085454436148,0.924561949519156,0.9083125238974616,0.8139981935536967
Std,45.920341655716996,0.00801758487190252,0.013696174791324654,0.012084690759925054,0.01903008662614275,0.012855415458654866,0.011116625727899315,0.023606085119894635
