Epoch,Time,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
1,1593.44,0.70764,0.70856,0.49482,0.4974,0.98964,0.66205,-0.07217
2,1596.46,0.71095,0.71328,0.49482,0.4974,0.98964,0.66205,-0.07217
3,1599.34,0.71489,0.71749,0.5,0.5,1.0,0.66667,0.0
4,1602.27,0.71554,0.72089,0.5,0.5,1.0,0.66667,0.0
5,1605.12,0.71634,0.71629,0.5,0.5,1.0,0.66667,0.0
6,1608.04,0.71617,0.71178,0.5,0.5,1.0,0.66667,0.0
7,1610.79,0.71597,0.71193,0.5,0.5,1.0,0.66667,0.0
8,1613.58,0.71485,0.70563,0.5,0.5,1.0,0.66667,0.0
9,1616.4,0.71366,0.70163,0.5,0.5,1.0,0.66667,0.0
10,1619.25,0.71437,0.69806,0.5,0.5,1.0,0.66667,0.0
11,1622.0,0.71462,0.69762,0.5,0.5,1.0,0.66667,0.0
12,1624.77,0.71371,0.6927,0.5,0.5,1.0,0.66667,0.0
13,1627.51,0.71352,0.69361,0.5,0.5,1.0,0.66667,0.0
14,1630.29,0.7136,0.69683,0.5,0.5,1.0,0.66667,0.0
15,1633.38,0.71417,0.70132,0.5,0.5,1.0,0.66667,0.0
16,1636.28,0.71401,0.70127,0.5,0.5,1.0,0.66667,0.0
17,1639.09,0.71331,0.70527,0.5,0.5,1.0,0.66667,0.0
18,1641.89,0.71174,0.70906,0.5,0.5,1.0,0.66667,0.0
19,1644.76,0.70975,0.71122,0.5,0.5,1.0,0.66667,0.0
20,1647.55,0.70678,0.71078,0.5,0.5,1.0,0.66667,0.0
21,1650.31,0.70391,0.71165,0.5,0.5,1.0,0.66667,0.0
22,1653.18,0.69892,0.70915,0.5,0.5,1.0,0.66667,0.0
23,1655.99,0.69521,0.70597,0.5,0.5,1.0,0.66667,0.0
24,1658.77,0.69086,0.7031,0.5,0.5,1.0,0.66667,0.0
25,1661.54,0.68853,0.70112,0.5,0.5,1.0,0.66667,0.0
26,1664.37,0.68638,0.69926,0.5,0.5,1.0,0.66667,0.0
27,1667.11,0.6849,0.69744,0.5,0.5,1.0,0.66667,0.0
28,1669.86,0.68351,0.69676,0.5,0.5,1.0,0.66667,0.0
29,1672.59,0.68245,0.69599,0.5,0.5,1.0,0.66667,0.0
30,1675.37,0.68129,0.694,0.5,0.5,1.0,0.66667,0.0
31,1678.12,0.68076,0.69381,0.5,0.5,1.0,0.66667,0.0
32,1680.94,0.6803,0.69278,0.5,0.5,1.0,0.66667,0.0
33,1683.72,0.67911,0.69158,0.5,0.5,1.0,0.66667,0.0
34,1686.47,0.67929,0.69169,0.5,0.5,1.0,0.66667,0.0
35,1689.26,0.67959,0.69285,0.5,0.5,1.0,0.66667,0.0
36,1692.08,0.67959,0.69367,0.5,0.5,1.0,0.66667,0.0
37,1694.88,0.67958,0.69363,0.5,0.5,1.0,0.66667,0.0
38,1697.67,0.67886,0.6933,0.5,0.5,1.0,0.66667,0.0
39,1700.47,0.67854,0.69393,0.5,0.5,1.0,0.66667,0.0
40,1703.28,0.67854,0.6948,0.5,0.5,1.0,0.66667,0.0
41,1706.07,0.67866,0.69551,0.5,0.5,1.0,0.66667,0.0
42,1708.85,0.6785,0.6957,0.5,0.5,1.0,0.66667,0.0
43,1711.59,0.67897,0.69746,0.5,0.5,1.0,0.66667,0.0
44,1714.35,0.67955,0.69891,0.5,0.5,1.0,0.66667,0.0
45,1717.16,0.68098,0.7001,0.5,0.5,1.0,0.66667,0.0
46,1719.92,0.68199,0.70179,0.5,0.5,1.0,0.66667,0.0
47,1722.69,0.68241,0.70333,0.5,0.5,1.0,0.66667,0.0
48,1725.48,0.68226,0.70353,0.5,0.5,1.0,0.66667,0.0
49,1728.22,0.6825,0.70435,0.5,0.5,1.0,0.66667,0.0
50,1730.98,0.6827,0.70518,0.5,0.5,1.0,0.66667,0.0
51,1733.78,0.68312,0.70618,0.5,0.5,1.0,0.66667,0.0
52,1736.62,0.68304,0.70594,0.5,0.5,1.0,0.66667,0.0
53,1739.46,0.68309,0.70643,0.5,0.5,1.0,0.66667,0.0
54,1742.25,0.68358,0.70706,0.5,0.5,1.0,0.66667,0.0
55,1745.04,0.68343,0.70742,0.5,0.5,1.0,0.66667,0.0
