Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
Fold 0,72.0,0.9622883392981144,0.9610760986122622,0.9224806201550387,0.9183673469387755,0.9278350515463918,0.9230769230769231,0.8450012046680028
Fold 1,61.0,0.9396399764969819,0.9449592226253989,0.8604651162790697,0.8398058252427184,0.8917525773195877,0.865,0.7222743497543732
Fold 2,73.0,0.9573740718978686,0.9597005812228653,0.8837209302325582,0.8530805687203792,0.9278350515463918,0.8888888888888888,0.7703677172560599
Fold 3,80.0,0.9549436461727472,0.942556104296907,0.8863049095607235,0.8781725888324873,0.8963730569948186,0.8871794871794871,0.7727855639376863
Fold 4,99.0,0.9489610597724482,0.9482497107625836,0.8733850129198967,0.8495145631067961,0.9067357512953368,0.8771929824561403,0.7485028621032555
Fold 5,82.0,0.9404145077720207,0.9400327127757814,0.8604651162790697,0.8638743455497382,0.8549222797927462,0.859375,0.720959429649726
Fold 6,66.0,0.9527504094069639,0.9525936433548022,0.8782383419689119,0.8724489795918368,0.8860103626943006,0.8791773778920309,0.7565680894004407
Fold 7,123.0,0.9503073908024378,0.9564984142690988,0.8937823834196891,0.9042553191489362,0.8808290155440415,0.8923884514435696,0.7878291905234223
Fold 8,147.0,0.9644822679803484,0.9609079157772001,0.9067357512953368,0.8792270531400966,0.9430051813471503,0.91,0.8156201831501947
Fold 9,59.0,0.9501194662943971,0.9434403247573151,0.8704663212435233,0.8421052631578947,0.9119170984455959,0.8756218905472637,0.7434919338661691
Mean,86.2,0.9521281135894328,0.9510014728454215,0.8836044503353817,0.870085185342966,0.902721542652636,0.8857901001484304,0.7683400524309331
Std,28.731709157498987,0.008180138046513597,0.008171437004652402,0.019815846774945033,0.026042551180967745,0.02622288568137601,0.019386462451640864,0.03948633818881059
