Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
Fold 0,478.0,0.974720901661236,0.9804589986603136,0.9405684754521964,0.9572192513368984,0.922680412371134,0.9396325459317586,0.8817243044142186
Fold 1,256.0,0.9402275519470114,0.9502024360433984,0.9069767441860463,0.9293478260869564,0.8814432989690721,0.9047619047619048,0.8150659696606931
Fold 2,224.0,0.9680305539234014,0.968478644127346,0.9276485788113696,0.9108910891089108,0.9484536082474226,0.9292929292929292,0.8560128008628609
Fold 3,299.0,0.9774584690988728,0.9767477286248036,0.9276485788113696,0.9064039408866996,0.9533678756476685,0.9292929292929292,0.8564596943099748
Fold 4,688.0,0.9651861545857592,0.9730372434110628,0.9405684754521964,0.9829545454545454,0.8963730569948186,0.9376693766937668,0.8845310317571755
Fold 5,698.0,0.96620105763581,0.969886648683766,0.9302325581395348,0.956043956043956,0.9015544041450776,0.928,0.8618378162897483
Fold 6,596.0,0.9666836693602512,0.9690782187926754,0.922279792746114,0.922279792746114,0.922279792746114,0.922279792746114,0.844559585492228
Fold 7,423.0,0.9622137507047168,0.9701044820187368,0.9248704663212436,0.91,0.9430051813471504,0.9262086513994912,0.8503003896789486
Fold 8,268.0,0.9832478724261052,0.9843914729854693,0.9455958549222798,0.9432989690721648,0.9481865284974094,0.9457364341085271,0.8912036727114041
Fold 9,195.0,0.9603076592660206,0.9643804782783646,0.8626943005181347,0.8211009174311926,0.927461139896373,0.8710462287104623,0.7315519091073814
Mean,412.5,0.9664277640609186,0.9706766351625936,0.9229083825360485,0.9239540288167438,0.924480529886224,0.9233920792937884,0.8473247174284634
Std,183.46,0.0116393048148016,0.0093890836001864,0.0238533932091135,0.0438122835049445,0.0247187120643282,0.0214840480889218,0.0463357736724825
