Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
Fold 0,-1.0,0.9747209016612361,0.9804589986603137,0.9405684754521964,0.9572192513368984,0.9226804123711341,0.9396325459317586,0.8817243044142186
Fold 1,-1.0,0.9402275519470114,0.9502024360433985,0.9069767441860465,0.9293478260869565,0.8814432989690721,0.9047619047619048,0.8150659696606931
Fold 2,-1.0,0.9680305539234014,0.9684786441273461,0.9276485788113695,0.9108910891089109,0.9484536082474226,0.9292929292929293,0.8560128008628609
Fold 3,-1.0,0.9774584690988729,0.9767477286248035,0.9276485788113695,0.9064039408866995,0.9533678756476683,0.9292929292929292,0.8564596943099748
Fold 4,-1.0,0.9651861545857593,0.9730372434110629,0.9405684754521964,0.9829545454545454,0.8963730569948186,0.9376693766937668,0.8845310317571755
Fold 5,-1.0,0.9662010576358101,0.9698866486837661,0.9302325581395349,0.9560439560439561,0.9015544041450777,0.928,0.8618378162897483
Fold 6,-1.0,0.9666836693602513,0.9690782187926754,0.9222797927461139,0.9222797927461139,0.9222797927461139,0.9222797927461139,0.844559585492228
Fold 7,-1.0,0.9622137507047168,0.9701044820187368,0.9248704663212435,0.91,0.9430051813471503,0.9262086513994912,0.8503003896789486
Fold 8,-1.0,0.9832478724261053,0.9843914729854691,0.9455958549222798,0.9432989690721649,0.9481865284974094,0.9457364341085271,0.8912036727114041
Fold 9,195.0,0.9603076592660206,0.9643804782783646,0.8626943005181347,0.8211009174311926,0.927461139896373,0.8710462287104623,0.7315519091073814
Mean,18.6,0.9664277640609186,0.9706766351625937,0.9229083825360485,0.9239540288167438,0.924480529886224,0.9233920792937884,0.8473247174284634
Std,61.98064213930024,0.011639304814801651,0.009389083600186468,0.023853393209113512,0.04381228350494456,0.02471871206432827,0.021484048088921827,0.04633577367248251
