Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
Fold 0,-1.0,0.9700470060360022,0.9805706441296043,0.9509043927648578,0.9834254143646409,0.9175257731958762,0.9493333333333334,0.9038666520882163
Fold 1,-1.0,0.9520191229101009,0.9665181442041688,0.9224806201550387,0.9408602150537635,0.9020618556701031,0.9210526315789475,0.8456997076148696
Fold 2,252.0,0.9666684471983334,0.975079461056976,0.9147286821705426,0.9351351351351351,0.8917525773195877,0.912928759894459,0.8303751907433267
Fold 3,-1.0,0.9731184231611558,0.978238055083813,0.9250645994832042,0.9141414141414141,0.9378238341968912,0.9258312020460359,0.850422129086238
Fold 4,-1.0,0.9718230863735913,0.9775862162383866,0.9405684754521964,0.9521276595744681,0.927461139896373,0.9396325459317585,0.881422573260624
Fold 5,232.0,0.962622188985631,0.967270500156549,0.9095607235142119,0.9388888888888889,0.8756476683937824,0.9061662198391421,0.8209443121984794
Fold 6,-1.0,0.9839995704582674,0.9846874787984786,0.9533678756476683,0.9533678756476683,0.9533678756476683,0.9533678756476683,0.9067357512953368
Fold 7,-1.0,0.9757174689253403,0.9799761316333774,0.9352331606217616,0.9719101123595506,0.8963730569948186,0.9326145552560648,0.8731072874223667
Fold 8,-1.0,0.9737845311283524,0.9758683237161748,0.9533678756476683,0.9441624365482234,0.9637305699481865,0.9538461538461539,0.9069305544774959
Fold 9,-1.0,0.9667373620768343,0.972150013776399,0.917098445595855,0.9086294416243654,0.927461139896373,0.9179487179487179,0.8343761101192962
Mean,47.6,0.9696537207253609,0.9757944968793927,0.9322374851053004,0.9442648593338119,0.919320549115966,0.9312721995322282,0.8653880268306249
Std,102.56618459425222,0.008526686926663755,0.005783811094077508,0.01672141221447501,0.022958071879140143,0.028089865874883338,0.017237089725206132,0.033345337229998384
